Kode;Komponen;Satuan;Harga_Dasar;Kategori
;Main Fire Pump Centrifugal End Suction dan Aksesoris ;Unit ;14000000;Material
;Diesel Fire Pump Centrifugal End Suction dan Aksesoris;unit ;12000000;Material
;Pipa PVC dia. 63 mm;m';14750;Material
;"Pipa PVC, DN. 2-1/2""
(65 mm)";m';15000;Material
;Pipa PVC dia. 90 mm;m';28600;Material
;"Pipa PVC, DN. 3"" (80
mm)";m';29000;Material
;Pipa PVC dia. 110 mm;m';39575;Material
;"Pipa PVC, DN. 4"" (100
mm)";m';40000;Material
;Pipa PVC dia. 150 mm;m';63200;Material
;"Pipa PVC, DN. 6"" (150
mm)";m';64000;Material
;Pipa PVC dia. 200 mm;m';139575;Material
;"Pipa PVC, DN. 8"" (200
mm)";m';140000;Material
;Pipa PVC dia. 250 mm;m';287500;Material
;"Pipa PVC, DN. 10""
(250 mm)";m';288000;Material
;Sewa Tripot;hari ;108000;Material
;Pipa PVC dia. 300 mm;m';305000;Material
;"Pipa PVC, DN. 12""
(300 mm)";m';306000;Material
;Pipa PVC dia. 400 mm;m';336700;Material
;"Pipa PVC, DN. 16""
(400 mm)";m';337000;Material
;Pipa PVC dia. 450 mm;m';368000;Material
;"Pipa PVC, DN. 18""
(450 mm)";m';369000;Material
;Pipa PVC dia. 500 mm;m';398500;Material
;"Pipa PVC, DN. 20""
(500 mm)";m';399000;Material
;Pipa PVC dia. 600 mm;m';425000;Material
;"Pipa PVC, DN. 24""
(600 mm)";m';426000;Material
;Pipa PVC dia. 800 mm;m';487000;Material
;"Pipa PVC, DN. 32""
(800 mm";m';488000;Material
;Pipa PVC dia. 900 mm;m';515000;Material
;"Pipa PVC, DN. 36""
(900 mm";m';516000;Material
;Pipa PVC dia. 1000 mm;m';547000;Material
;"Pipa PVC, DN. 40""
(1000 mm)";m';548000;Material
;Pipa PVC dia. 1100 mm;m';589000;Material
;"Pipa PVC, DN. 44""
(1100 mm)";m';590000;Material
;Pipa PVC dia. 1200 mm;m';617000;Material
;"Pipa PVC, DN. 48""
(1200 mm)";m';618000;Material
;Pipa PVC dia. 15 mm;m';5200;Material
;"Pipa PVC, DN. 1/2""
(15 mm)";m';5300;Material
;Pipa PVC dia. 20 mm;m';7500;Material
;"Pipa PVC, DN. 3/4""
(20 mm)";m';7600;Material
;Pipa PVC dia. 25 mm;m';8300;Material
;"Pipa PVC, DN. 1"" (25 mm)";m';8400;Material
;Pipa PVC dia. 32 mm;m';9700;Material
;"Pipa PVC, DN. 1-1/4""
(32 mm";m';10000;Material
;Pipa PVC dia. 40 mm;m';10500;Material
;"Pipa PVC, DN. 1-1/2""
(40 mm)";m';10600;Material
;Pipa PVC dia. 50 mm;m';13700;Material
;"Pipa PVC, DN. 2"" (50 mm)";m';13800;Material
;Gergaji Pipa;hari ;32500;Material
;"Peralatan potong pipa
T1/manual (gergaji) /
saw";hari ;35000;Material
;Pipa Galvanis dia. 63 mm;m';183333.3333;Material
;"Pipa Galvanis, DN. 2-
1/2"" (65 mm)";m';185000;Material
;Pipa Galvanis dia. 100 mm;m';309000;Material
;"Pipa Galvanis, DN. 4""
(100 mm)";m';310000;Material
;Pipa Galvanis dia. 125 mm;m';435000;Material
;"Pipa Galvanis, DN. 5""
(125 mm)";m';436000;Material
;Pipa Galvanis dia. 150 mm;m';395000;Material
;"Pipa Galvanis, DN. 6""
(150 mm)";m';396000;Material
;Pipa Galvanis dia. 200 mm;m';417000;Material
;"Pipa Galvanis, DN. 8""
(200 mm)";m';418000;Material
;Pipa Galvanis dia. 250 mm;m';467000;Material
;"Pipa Galvanis,
DN.10"" (250 mm)";m';468000;Material
;Pipa Galvanis dia. 300 mm;m';512000;Material
;"Pipa Galvanis, DN. 12""
(300 mm";m';513000;Material
;Pipa Galvanis dia. 400 mm;m';593000;Material
;"Pipa Galvanis, DN. 16""
(400 mm)";m';594000;Material
;Pipa Galvanis dia. 450 mm;m';612000;Material
;"Pipa Galvanis, DN. 18""
(450 mm";m';61300;Material
;Pipa Galvanis dia. 500 mm;m';655000;Material
;"Pipa Galvanis, DN. 20""
(500 mm)";m';656000;Material
;Pipa Galvanis dia. 600 mm;m';697000;Material
;"Pipa Galvanis, DN. 24"" (600 mm)";m';698000;Material
;Pipa Galvanis dia. 800 mm;m';715000;Material
;"Pipa Galvanis, DN. 32"" (800 mm)";m';716000;Material
;Pipa Galvanis dia. 900 mm;m';756000;Material
;"Pipa Galvanis, DN. 36"" (900 mm)";m';757000;Material
;Pipa Galvanis dia. 1000 mm;m';799000;Material
;"Pipa Galvanis,
DN. 40"" (1000 mm)";m';780000;Material
;Pipa Galvanis dia. 1100 mm;m';830000;Material
;"Pipa Galvanis,
DN. 44"" (1100 mm)";m';831000;Material
;Pipa Galvanis dia. 1200 mm;m';867000;Material
;"Pipa Galvanis,
DN. 48"" (1200 mm";m';868000;Material
;Pipa Galvanis dia. 15 mm;m';51000;Material
;"Pipa Galvanis,
DN. 1/2"" (15 mm)";m';52000;Material
;Pipa Galvanis dia. 20 mm;m';67000;Material
;"Pipa Galvanis,
DN. 3/4"" (20 mm)";m';68000;Material
;Pipa Galvanis dia. 25 mm;m';71000;Material
;"Pipa Galvanis, DN. 1""
(25 mm)";m';72000;Material
;Pipa Galvanis dia. 32 mm;m';79000;Material
;"Pipa Galvanis,
DN. 1-1/4"" (32 mm)";m';80000;Material
;Pipa Galvanis dia. 40 mm;m';86000;Material
;"Pipa Galvanis,
DN. 1-1/2"" (40 mm)";m';87000;Material
;Pipa Galvanis dia. 50 mm;m';94000;Material
;"Pipa Galvanis, DN. 2""
(50 mm";m';95000;Material
;Cilinder Saw;hari ;75000;Material
;"Peralatan potong pipa
T2/mekanik / cilinder saw";hari ;75000;Material
;Pipa HDPE dia. 63 mm;m';24700;Material
;"Pipa HDPE, DN. 2-1/2""
(65 mm)";m';25000;Material
;Pipa HDPE dia. 100 mm;m';49000;Material
;"Pipa HDPE, DN. 4""
(100 mm)";m';50000;Material
;Pipa HDPE dia. 125 mm;m';57000;Material
;"Pipa HDPE, DN. 5""
(125 mm)";m';58000;Material
;Pipa HDPE dia. 150 mm;m';63000;Material
;"Pipa HDPE, DN. 6""
(150 mm";m';64000;Material
;Pipa HDPE dia. 200 mm;m';74000;Material
;"Pipa HDPE, DN. 8""
(200 mm)";m';75000;Material
;Pipa HDPE dia. 250 mm;m';81000;Material
;"Pipa HDPE, DN.10""
(250 mm)";m';82000;Material
;Pipa HDPE dia. 300 mm;m';93000;Material
;"Pipa HDPE, DN. 12""
(300 mm";m';94000;Material
;Pipa HDPE dia. 400 mm;m';101000;Material
;"Pipa HDPE, DN. 16""
(400 mm)";m';102000;Material
;Pipa HDPE dia. 450 mm;m';123000;Material
;"Pipa HDPE, DN. 18""
(450 mm)";m';124000;Material
;Pipa HDPE dia. 500 mm;m';142000;Material
