Kode;Komponen;Satuan;Harga_Dasar;Kategori
;Cat dasar (cat besi);kg;52300;Material
;Cat dasar (cat kayu);kg;38200;Material
;Cat kayu;kg;50000;Material
;Cat dasar (cat tembok eksterior);kg;128500;Material
;Cat dasar (cat tembok interior);kg;119100;Material
;Cat Dasar Plafond;Kg ;128500;Material
;Cat Plafond Eksterior;kg;119100;Material
;Cat epoxy;kg;30000;Material
;Cat kedap  air  ( water  base);kg;53300;Material
;Cat penutup (cat besi);kg;54700;Material
;Cat penutup (cat kayu);kg;58500;Material
;Cat penutup (cat tembok eksterior);kg;136600;Material
;Cat penutup (cat tembok interior);kg;130500;Material
;Cat dinding;m2;25000;Material
;Cat zyncromate;kg;26000;Material
;Cat Thermoplast ;kg ;29120;Material
;Glass Beads ;kg;18000;Material
;Compressor ;jam ;92500;Material
;Logo PU Akrilik 40x40 cm ;buah ;400000;Material
;Logo PU Plat Baja 80x80 cm ;buah ;450000;Material
;Nomor Rumah Akrilik 15x30 cm;buah ;55000;Material
;Bak Cuci Piring ;unit ;436500;Material
;Shower Set;unit;666000;Material
;Dempul;kg;33500;Material
;Dempul jadi;kg;35500;Material
;"Kuas  1""";buah;7100;Material
;"Kuas  2""";buah;9800;Material
;"Kuas  4""";buah;14100;Material
;Kuas 3 inch;buah;10400;Material
;Melamic;kg;60000;Material
;Meni besi;kg;39700;Material
;Meni kayu;kg;34500;Material
;Pelitur;liter;73700;Material
;Pelitur jadi;liter;66200;Material
;Pengencer cat kayu/besi;liter;20000;Material
;Pengencer cat kayu/besi;kg;17400;Material
;Pewarna Beton;kg;75000;Material
;Plamir kayu;kg;30100;Material
;Plamir tembok;kg;26500;Material
;Sanding;kg;90000;Material
;Vernis;liter;44500;Material
;Wood filler;kg;53000;Material
;Woodstain;kg;87000;Material
MATERIAL KUNCI DAN ENGSEL;;;;Material
;1 set  kunci pintu (kw  1);buah;180900;Material
;1 set  kunci pintu (kw  2);buah;117900;Material
;1 set handle+kunci;buah;279000;Material
;Door closer;buah;167500;Material
;Door holder;buah;81000;Material
;Door stop;buah;58500;Material
;Engsel angin;buah;27400;Material
;Engsel jendela;buah;18900;Material
;Engsel kupu-kupu;buah;41700;Material
;Engsel lengan jendela;buah;26500;Material
;Engsel pintu (kw 1);buah;31500;Material
;Engsel pintu (kw 2);buah;23700;Material
;Floor hinge;buah;500000;Material
;Gerendel Biasa;buah;32600;Material
;Grendel;buah;15000;Material
;Grendel tanam;buah;150000;Material
;Handle pintu (kw  1);buah;140800;Material
;Hendle Jendela ;buah ;58500;Material
;Kait angin;buah;12000;Material
;Kunci lemari;buah;14100;Material
;Kunci silinder;buah;70000;Material
;Kunci slot;buah;101300;Material
;Kunci tanam;buah;65800;Material
;Kunci tanam antik;buah;144300;Material
;Kunci tanam biasa;buah;65800;Material
;Kunci Tanam ex  lokal 2x  slag;buah;75000;Material
;Kunci tanam kamar mandi;buah;46900;Material
;Pull handle (kw  1);buah;290800;Material
;Pull handle stainless  jumbo  (kw  1);buah;435200;Material
;Rel pintu dorong;set;243100;Material
;Spring knip;buah;21600;Material
;Tarikan Pintu Stainless;buah;60000;Material
;Venetions blinds dan vertical blinds;m2;140000;Material
MATERIAL KACA;;;;Material
;Glass block 20x20 cm;buah;2500;Material
;Frame besi kaca nako;daun;400000;Material
;Jendela nako;buah;400000;Material
;Jendela Kaca Upvc 2 daun ;buah ;2000000;Material
;Jendela Ornamen GRC ;buah ;596000;Material
;Jendela Nako Rangka Aluminium (rangka+kaca 5 mm);m2;242000;Material
;Kaca buram 12mm;m2;317000;Material
;Kaca cermin 5 mm;m2;221400;Material
;Kaca cermin 6mm;m2;270900;Material
;Kaca cermin 8 mm;m2;796100;Material
;Kaca es  kabur 3 mm;m2;85000;Material
;Kaca es  kabur 5 mm;m2;95000;Material
;Kaca gravire 5mm;m2;794400;Material
;Kaca gravire putih 5mm;m2;750000;Material
;Kaca laminated 12 mm;m2;900000;Material
;Kaca laminated 8 mm;m2;700000;Material
;Kaca lukis  alur 5mm;m2;688700;Material
;Kaca patri 5 mm;m2;1516300;Material
;Kaca polos;m2;120000;Material
;Kaca polos 3 mm;m2;120000;Material
;Kaca polos 5 mm;m2;198000;Material
;Kaca polos 6 mm;m2;237000;Material
;Kaca polos 8 mm;m2;226400;Material
;Kaca tanpa tripel 5mm;m2;3447000;Material
;Kaca tempered 12 mm;m2;600000;Material
;Kaca triple 5mm;m2;3179400;Material
;Kaca triple platinum 5mm;m2;3702800;Material
;Kaca wireglass 5 mm;m2;144800;Material
;Profil kaca;m¹;14500;Material
;Profil kaca tebal 6 mm;m2;15000;Material
;Ray Band 3mm;m2;85100;Material
;Ray Band 5mm;m2;112400;Material
MATERIAL SANITAIR;;;;Material
;Bak  reservoir  fibreglass (kapasitas 1050  liter);buah;1793400;Material
;Bak  reservoir  fibreglass (kapasitas 1200  liter);buah;1448700;Material
;Bak  reservoir  fibreglass (kapasitas 1550  liter);buah;2125600;Material
;Bak  reservoir  fibreglass (kapasitas 2000  liter);buah;2778200;Material
;Bak  reservoir  fibreglass (kapasitas 650  liter);buah;868300;Material
;Bak cuci stainlesteel;buah;230600;Material
;Bak cuci teraso;buah;600000;Material
;Bak fiberglass 1 m3;buah;400000;Material
;Bak fiberglass 70x70x66 cm;buah;328400;Material
;Bak teraso;buah;450000;Material
;Bathup;unit;2500000;Material
;Carbon filter kap. 0,1 m3/hari;unit;650000;Material
;Carbon filter kap. 0,6 m3/hari;unit;3000000;Material
;Clean out;buah;70000;Material
;Flexible hose;m';55000;Material
;Flexible hose;buah;50000;Material
;Floor drain stainles steel;buah;44700;Material
;Grab bar;buah;120000;Material
;Grease trap central fiberglass, kap. 5 m3;unit;20000000;Material
;Grease trap portable fiberglass, kap. 30 Liter;unit;1000000;Material
;Grease trap portable stainless, kap. 30 Liter;unit;1500000;Material
;Jet washer;buah;100000;Material
;Kloset duduk/monoblok;buah;1490000;Material
;Kloset jongkok;buah;250000;Material
;Komunal 10;unit;30000000;Material
;Komunal 100;unit;310000000;Material
;Komunal 125;unit;390000000;Material
;Komunal 150;unit;465000000;Material
;Komunal 25;unit;70000000;Material
;Komunal 50;unit;135000000;Material
;Komunal 75;unit;245000000;Material
;Kran air;buah;41700;Material
;Partisi urinoir;buah;700000;Material
;Pintu kubikel;set;1000000;Material
;Pompa booster 150 lpm (vertical in line-packaged);unit;1200000;Material
;Pompa booster 450 lpm (centrifugal end suction);unit;2970000;Material
;Pompa jet 100 lpm;unit;2000000;Material
;Pompa jet 27 lpm;unit;900000;Material
;Pompa jet 34 lpm;unit;1200000;Material
;Pompa lift 250 lpm;unit;3500000;Material
;Pompa lift 80 lpm;unit;1000000;Material
;Pompa transfer 150 lpm (centrifugal end suction);unit;1000000;Material
;Pressure tank 1.000 liter;unit;17000000;Material
;Priming tank fiber 1.000 liter;unit;2850000;Material
;Priming tank fiber 2.000 liter;unit;4000000;Material
;Priming tank fiber 500 liter;unit;1300000;Material
;Priming tank fiber 800 liter;unit;2080000;Material
;Robe hook;buah;70000;Material
;Roof tank fiberglass kap. 12 m3;unit;36000000;Material
;Roof tank fiberglass kap. 2 m3;unit;6000000;Material
;Roof tank fiberglass kap. 4 m3;unit;12000000;Material
;Roof tank stainless kap. 12 m3;unit;48000000;Material
;Roof tank stainless kap. 2 m3;unit;6400000;Material
;Roof tank stainless kap. 4 m3;unit;15000000;Material
;Sand filter kap. 0,1 m3/hari;unit;2500000;Material
;Sand filter kap. 14 m3/hari;unit;4800000;Material
;Sekat kubikel;m2;1200000;Material
;Septic  0,6;unit;3200000;Material
;Septic  0,8;unit;3500000;Material
;Septic  1;unit;3600000;Material
;Septic  2;unit;4600000;Material
;Septic  5;unit;16000000;Material
;Sewage Treatment Plant (STP) fiberglass kap. 10 m3;unit;53200000;Material
;Sewage Treatment Plant (STP) fiberglass kap. 2 m3;unit;19500000;Material
;Sewage Treatment Plant (STP) fiberglass kap. 30 m3;unit;100000000;Material
;Sewage Treatment Plant (STP) fiberglass kap. 5 m3;unit;33000000;Material
;Sewage Treatment Plant (STP) precast kap. 30 m3;unit;84000000;Material
;Silika filter kap. 0,1 m3/hari;unit;500000;Material
;Soap holder;buah;150000;Material
;"Stop kran PVC 1/2""";buah;4000;Material
;"Stop kran PVC 3/4""";buah;6000;Material
;Submersible cutter pump kap. 100 lpm;unit;8500000;Material
;Tangki toren kap. 0,7 m3;unit;1100000;Material
;Tangki toren kap. 1,5 m3;unit;1700000;Material
;Tangki toren kap. 2,5 m3;unit;3400000;Material
;Tangki toren kap. 3 m3;unit;4600000;Material
;Tangki toren kap. 4 m3;unit;5500000;Material
;Tangki toren kap. 5 m3;unit;6900000;Material
;Tangki toren kap. 5,5 m3;unit;7100000;Material
;Tangki toren kap. 6 m3;unit;7850000;Material
;Tangki Panel FRP kap. 12 m3;unit ;15000000;Material
;Tangki panel Stainless Steel kapasitas 12 m3 + Material Bantu / Aksesoris;Unit ;12500000;Material
;"Tangki panel GRP
kapasitas 12 m3 +
Material Bantu /
Aksesoris";Unit ;12000000;Material
;Tangki Toren Kapasitas 0,5 m3;Unit ;650000;Material
;Pompa Jet 30 lpm ;unit;730000;Material
;Galian tanah biasa;m3;45000;Material
;Urukan Tanah ;m2;65000;Material
;Timbunan Pasir ;m3;150000;Material
;Buis Beton 1/2 dia. 30 cm ;buah ;93000;Material
;Buis Beton 1/2 dia. 40 cm ;buah ;110250;Material
;Buis Beton 1/2 dia. 50 cm ;buah ;115000;Material
;Buis Beton 1/2 dia. 60 cm ;buah ;125500;Material
;Buis beton 1/2 dia. 80 cm ;buah ;150600;Material
;Buis Beton 1/2 dia. 100 cm ;buah ;190000;Material
;Buis Beton dia. 30 cm ;buah ;75000;Material
;Buis Beton dia. 40 cm ;buah ;120000;Material
;Buis Beton dia. 50 cm ;buah ;150000;Material
;Buis Beton dia. 60 cm ;buah ;250000;Material
;Buis beton dia. 80 cm ;buah ;255400;Material
;Buis Beton dia. 100 cm ;buah ;269500;Material
;Ijuk ;kg ;7000;Material
;Beton ;m3;825000;Material
;tulangan ;kg;10300;Material
;Bekisting ;m2;37500;Material
;Kanstin uk. 10x20x40;Buah ;27383;Material
;Kanstin uk. 15x40x60;buah ;93000;Material
;Box Culvert 40x40x100 cm;buah ;855000;Material
;Box Culvert 50x50x100 cm;buah ;1119000;Material
;Box Culvert 60x60x100 cm;buah ;1504000;Material
;Box Culvert 80x80x100 cm;buah ;2560000;Material
;Box Culvert 100x100x100 cm;buah ;3052000;Material
;Box Culvert 150x150x100 cm;buah ;3570000;Material
;Box Culvert 200x200x100 cm;buah ;3930000;Material
;Box Culvert 300x300x100 cm;buah ;4110000;Material
;Tempat  sabun gantung;buah;70100;Material
;Tempat  sabun tanam;buah;53300;Material
;Tissue holder;buah;150000;Material
;Towel bar;buah;150000;Material
;Urinoir;buah;456800;Material
;Wastafel;buah;325100;Material
;Water drain;set;321900;Material
MATERIAL MINYAK;;;;Material
;Bensin;liter;7800;Material
;Bensin (industri);liter;8100;Material
;Bentonite;m3;20000000;Material
;Cairan perontok karat;kg;20000;Material
;Cuka bibit;liter;50000;Material
;Minyak bekisting;liter;16800;Material
;Minyak cat;kg;24000;Material
;Minyak pelumas;liter;28000;Material
;Minyak tanah;liter;15300;Material
;Oli hidrolis;liter;31300;Material
;Oli mesin;liter;30300;Material
;Premium (industri);liter;9400;Material
;Residu;liter;21000;Material
;Solar;liter;6500;Material
;Solar (industri);liter;8800;Material
;Steamvet;liter;51000;Material
;Teak oil;liter;29200;Material
;Thinner;liter;21800;Material
;Thinner A;liter;18800;Material
MATERIAL ALUMINIUM DAN BESI;;;;Material
;Aluminium composite panel;m2;225800;Material
;Aluminium spandrel 10x600 cm;lembar;200000;Material
;Aluminium strip;m';50000;Material
;Besi as  drat;kg;40200;Material
;Besi profil;kg;34500;Material
;Blok besi cor type skep;bh;1055700;Material
;Blok besi type ronsel;bh;1508800;Material
;Buis  brons;bh;422000;Material
;C  channel galvanis  lebar 40 mm;m';10700;Material
;C  channel galvanis  lebar 75 mm;m';13600;Material
;Cat  meni;kg;50600;Material
;Daun Pintu HDF 36x720x2100;unit;475000;Material
;Pintu uPVC lebar 80 cm ;buah ;1043100;Material
;Pintu uPVC lebar 70 cm ;buah ;730000;Material
;Frame aluminium;m';38333;Material
;Rangka Aluminium;m';39000;Material
;Gembok;bh;102300;Material
;Grease;kg;67800;Material
;Hollow  galvanis  20x40x0,4 mm;m';7500;Material
;Metal Hollow 20x40 mm;m';7500;Material
;Hollow galvanis 40x40x0,4 mm;m';10700;Material
;Jalusi aluminium;m2;600000;Material
;Jalusi uPVC;buah ;49500;Material
;Kontra mur type ronsel;bh;343800;Material
;Kontra mur type skep;bh;301300;Material
;kopel/universal join;bh;542800;Material
;"Kusen aluminium 4""  putih";m';107000;Material
;Kusen Bovenlight Upvc;bauh ;270000;Material
;Lager type ronsel;bh;905000;Material
;Lager type skep;bh;693400;Material
;"Mur baut  1/2""  x  4""";bh;16100;Material
;"Mur baut  5/8""  x  4""";bh;19500;Material
;Mur baut  M8 steinless;bh;19500;Material
;"Baut dan Mur f12 L=4"" ";buah ;20000;Material
;"Baut dan Mur f12, L=6""";buah ;22000;Material
;"Baut dan Mur f12, L=7""";buah ;23000;Material
;Ring Plat ;buah ;2500;Material
;Mur brons  ronsel;kg;210400;Material
;Mur brons  type skep;kg;210400;Material
;Pen spindie type ronsel;bh;102300;Material
;Penyangga roda gigi;bh;542800;Material
;Pintu alluminium;m';73600;Material
;Pintu KM  aluminium;unit;1500000;Material
;Pintu lipat  besi;m2;494200;Material
;Pintu lipat PVC;m2;750000;Material
;Plat  peluncur;kg;210400;Material
;Plat besi 3 mm;kg;34500;Material
;Profil aluminium;m';130000;Material
;Profil Aluminium ”T”;m';15000;Material
;Profil slimar aluminium;m';60000;Material
;Rangka metal hollow 40.40.1,2 mm;m';16200;Material
;Rangka metal hollow 40.40.2 mm;m';19000;Material
;roda gigi nanas;bh;1025800;Material
;Roda gigi pinggiran;bh;1750300;Material
;Rolling door aluminium;m2;600600;Material
;Rolling door besi;m2;509100;Material
;Rubber seal;m';1811200;Material
;Sliding pintu J4;buah;456000;Material
;"Stang draft  diameter 1,5""  +  mur baut";m';2750000;Material
;"Stang draft  diameter 1,75""  +  mur baut";m';3150000;Material
;"Stang draft  diameter 2""  +  mur baut";m';3500000;Material
;"Stang draft  diameter 2,25""  +  mur baut";m';3800000;Material
;Stang gembok;bh;78200;Material
;Stang pemutar type ronsel;bh;1146500;Material
;Stang pemutar type skep;bh;633600;Material
;Sunscreen aluminium;m2;381900;Material
;Talang galvalum lebar 50 cm tebal 0,4 mm;m';53300;Material
;Talang datar/jurai seng lebar 90cm;m;75000;Material
;Talang Seng 1/2 lingkaran diameter 15cm ;m;133000;Material
;Thinner;ltr;35600;Material
MATERIAL LISTRIK;;;;Material
;Hanger tray panjang 2,5 m;buah;300000;Material
;Kabel BCC 10 mm² (0,10 kg/m);m';29000;Material
;Kabel BCC 16 mm² (0,16 kg/m);m';33000;Material
;Kabel BCC 25 mm² (0,25 kg/m);m';53000;Material
;Kabel BCC 35 mm² (0,35 kg/m);m';72000;Material
;Kabel BCC 4 mm² (0,04 kg/m);m';12000;Material
;Kabel BCC 50 mm² (0,50 kg/m);m';95500;Material
;Kabel BCC 6 mm² (0,06 kg/m);m';13200;Material
;BCC 6 mm2 (0,06 kg/m) dan aksesoris;m';38300;Material
;Kabel BCC 70 mm² (0,70 kg/m);m';136000;Material
;Kabel BCC 95 mm² (0,95 kg/m);m';185000;Material
;Kabel FRC 1 x 150 mm²;m';275000;Material
;Kabel FRC 2 x 1,5 mm²;m';23000;Material
;Kabel FRC 2 x 1,5 mm2 + PVC Conduit HI 20 mm dan aksesoris;m';27100;Material
;Kabel FRC 2 x 2,5 mm²;m';33500;Material
;Kabel FRC 2 x 2,5 mm2 + PVC Conduit HI 20 mm dan aksesoris;m';37600;Material
;Kabel FRC 3 x 2,5 mm²;m';40000;Material
;Kabel FRC 4 x 150 mm²;m';1607400;Material
;Kabel FRC 4 x 4 mm²;m';90000;Material
;Kabel FRC 4 x 6 mm²;m';110000;Material
;Kabel NYA 1 x 1,5 mm²;m';3200;Material
;Kabel NYA 1 x 10 mm²;m';20000;Material
;Kabel NYA 1 x 16 mm²;m';33000;Material
;Kabel NYA 1 x 2,5 mm²;m';5300;Material
;Kabel NYA 1 x 4 mm²;m';8300;Material
;Kabel NYA 1 x 6 mm²;m';12200;Material
;Kabel NYA 2 x 1,5 mm²;m';9200;Material
;Kabel NYA 3 x 1,5 mm²;m';14000;Material
;Kabel NYA 3 x 2,5 mm²;m';19448;Material
;Kabel NYA 5 x 2,5 mm²;m';51500;Material
;Kabel NYA 1 x 35 mm²;m';71250;Material
;Kabel NYA 1 x 95 mm²;m';181000;Material
;Kabel NYFGBY 2 x 1,5 mm²;m';22750;Material
;Kabel NYFGBY 2 x 10 mm²;m';60750;Material
;Kabel NYFGBY 2 x 16 mm²;m';82000;Material
;Kabel NYFGBY 2 x 2,5 mm²;m';30500;Material
;Kabel NYFGBY 2 x 4 mm²;m';35200;Material
;Kabel NYFGBY 2 x 6 mm²;m';43350;Material
;Kabel NYFGBY 3 x 1,5 mm²;m';28500;Material
;Kabel NYFGBY 3 x 10 mm²;m';79600;Material
;Kabel NYFGBY 3 x 16 mm²;m';128900;Material
;Kabel NYFGBY 3 x 2,5 mm²;m';32900;Material
;Kabel NYFGBY 3 x 4 mm²;m';49000;Material
;Kabel NYFGBY 3 x 6 mm²;m';63500;Material
;Kabel NYFGBY 4 x 1,5 mm²;m';29400;Material
;Kabel NYFGBY 4 x 10 mm²;m';100600;Material
;Kabel NYFGBY 4 x 120 mm²;m';969500;Material
;Kabel NYFGBY 4 x 150 mm²;m';1187650;Material
;Kabel NYFGBY 4 x 16 mm²;m';159300;Material
;Kabel NYFGBY 4 x 185 mm²;m';1470650;Material
;Kabel NYFGBY 4 x 2,5 mm²;m';38600;Material
;Kabel NYFGBY 4 x 240 mm²;m';1921500;Material
;Kabel NYFGBY 4 x 25 mm²;m';247200;Material
;Kabel NYFGBY 4 x 300 mm²;m';2392250;Material
;Kabel NYFGBY 4 x 35 mm²;m';314750;Material
;Kabel NYFGBY 4 x 4 mm²;m';66000;Material
;Kabel NYFGBY 4 x 50 mm²;m';411600;Material
;Kabel NYFGBY 4 x 6 mm²;m';70200;Material
;Kabel NYFGBY 4 x 70 mm²;m';575250;Material
;Kabel NYFGBY 4 x 95 mm²;m';743750;Material
;Kabel NYM 2 x 1,5 mm²;m';8880;Material
;Kabel NYM 2 x 10 mm²;m';49000;Material
;Kabel NYM 2 x 2,5 mm²;m';13250;Material
;Kabel NYM 2 x 4 mm²;m';19950;Material
;Kabel NYM 2 x 6 mm²;m';29000;Material
;Kabel NYM 3 x 1,5 mm²;m';11400;Material
;Kabel NYM 3 x 10 mm²;m';69200;Material
;Kabel NYM 3 x 2,5 mm²;m';21300;Material
;Kabel NYM 3 x 4 mm²;m';27000;Material
;"Kabel NYM 3 x 2,5
mm2 (LSOH)";M';21300;Material
;Kabel NYM 3 x 6 mm²;m';43100;Material
;Kabel NYM 4 x 1,5 mm²;m';14400;Material
;Kabel NYM 4 x 10 mm²;m';92900;Material
;Kabel NYM 4 x 16 mm²;m';150000;Material
;Kabel NYM 4 x 2,5 mm²;m';22700;Material
;Kabel NYM 4 x 4 mm²;m';37000;Material
;Kabel NYM 4 x 6 mm²;m';54400;Material
;Kabel NYMHY 2 x 1,5 mm²;m';9300;Material
;Kabel NYMHY 2 x 2,5 mm²;m';13900;Material
;Kabel NYMHY 3 x 1,5 mm²;m';13400;Material
;"Kabel NYMHY 2(3 x
1,5 mm2) + Conduit
PVC HI 20 mm dan
aksesoris";m';35000;Material
;"Kabel NYMHY 3 x 1,5
mm2 + Conduit PVC
HI 20 mm dan
aksesoris";m';17500;Material
;Kabel NYMHY 3 x 2,5 mm²;m';21300;Material
;Kabel NYMHY 4 x 2,5 mm²;m';28700;Material
;Kabel NYY 1 x 10 mm²;m';18000;Material
;Kabel NYY 1 x 120 mm²;m';246500;Material
;Kabel NYY 1 x 150 mm²;m';303000;Material
;Kabel NYY 1 x 16 mm²;m';36000;Material
;Kabel NYY 1 x 185 mm²;m';377000;Material
;Kabel NYY 1 x 25 mm²;m';56000;Material
;Kabel NYY 1 x 250 mm²;m';496000;Material
;Kabel NYY 1 x 300 mm²;m';619000;Material
;Kabel NYY 1 x 35 mm²;m';75000;Material
;Kabel NYY 1 x 4 mm²;m';7500;Material
;Kabel NYY 1 x 400 mm²;m';786000;Material
;Kabel NYY 1 x 50 mm²;m';99600;Material
;Kabel NYY 1 x 500 mm²;m';1004400;Material
;Kabel NYY 1 x 6 mm²;m';12000;Material
;Kabel NYY 1 x 630 mm²;m';1245000;Material
;Kabel NYY 1 x 70 mm²;m';142000;Material
;Kabel NYY 1 x 95 mm²;m';196500;Material
;Kabel NYY 2 x 1,5 mm²;m';12000;Material
;Kabel NYY 2 x 10 mm²;m';57500;Material
;Kabel NYY 2 x 16 mm²;m';92000;Material
;Kabel NYY 2 x 2,5 mm²;m';16560;Material
;Kabel NYY 2 x 4 mm²;m';23000;Material
;Kabel NYY 2 x 6 mm²;m';35000;Material
;Kabel NYY 3 x 1,5 mm²;m';15000;Material
;Kabel NYY 3 x 10 mm²;m';74600;Material
;Kabel NYY 3 x 16 mm²;m';114000;Material
;Kabel NYY 3 x 2,5 mm²;m';21500;Material
;Kabel NYY 3 x 25 mm²;m';174900;Material
;Kabel NYY 3 x 35 mm²;m';235500;Material
;Kabel NYY 3 x 4 mm²;m';33000;Material
;Kabel NYY 3 x 50 mm²;m';305700;Material
;Kabel NYY 3 x 6 mm²;m';46000;Material
;Kabel NYY 4 x 1,5 mm²;m';18600;Material
;Kabel NYY 4 x 10 mm²;m';96000;Material
;Kabel NYY 4 x 120 mm²;m';1011900;Material
;Kabel NYY 4 x 150 mm²;m';1245000;Material
;Kabel NYY 4 x 16 mm²;m';148500;Material
;Kabel NYY 4 x 185 mm²;m';1552800;Material
;Kabel NYY 4 x 2,5 mm²;m';28620;Material
;Kabel NYY 4 x 240 mm²;m';2044800;Material
;Kabel NYY 4 x 25 mm²;m';228000;Material
;Kabel NYY 4 x 300 mm²;m';2550900;Material
;Kabel NYY 4 x 35 mm²;m';310500;Material
;Kabel NYY 4 x 4 mm²;m';43000;Material
;Kabel NYY 4 x 50 mm²;m';412200;Material
;Kabel NYY 4 x 6 mm²;m';61000;Material
;Kabel NYY 4 x 70 mm²;m';584700;Material
;Kabel NYY 4 x 95 mm²;m';805200;Material
;Kabel STP AWG 18 ;m';4500;Material
;Kabel STP AWG 18 + PVC Conduit HI 20 mm (dari MCFA ke TB) dan aksesoris;;10700;Material
;Kabel ITC 2x2x0,6 mm2;m';3924;Material
;Kabel ITC 2 x 2 x 0,6 mm2 + PVC Conduit HI 20 mm dan aksesoris;m';13100;Material
;Kabel UTP CAT 6;m';1500;Material
;Kabel Coaxial 7C-2V ;m';22800;Material
;Kabel Ladder 500 x100 mm ;unit ;494000;Material
;Kabel Ladder 600 x100 mm ;Unit ;535000;Material
;Kabel Ladder 800 x100 mm ;Unit ;569000;Material
;Kabel Tray 600 x 100 mm Hotdip Galvanized ;Unit ;1639000;Material
;Kabel Tray 600 x100 mm Elektro Galvanized ;Unit;1255500;Material
;Kabel Tray 600 x 100 mm Powder Coating ;Unit ;890000;Material
;Kabel Tray (Horizontal) 1000 x 100 mm TRU Powder Coating dan aksesoris;Unit;650000;Material
;Kabel Tray (Horizontal) 1000 x 100 mm TRU Hot Dip Galvanized dan aksesoris;unit;670000;Material
;Kabel Tray (Horizontal) 1000 x 100 mm TRU OCP dan aksesoris;Unit;710000;Material
;Kabel Tray (Horizontal) 1000 x 100 mm TRC Powder Coating dan aksesoris;Unit ;750000;Material
;Kabel Tray (Horizontal) 1000 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;670000;Material
;Kabel Tray (Horizontal) 1000 x 100 mm TRC OCP dan aksesoris;Unit ;710000;Material
;Kabel Tray (Horizontal) 900 x 100 mm TRU Powder Coating dan aksesoris;Unit ;550000;Material
;"Kabel Tray
(Horizontal) 900 x
100 mm TRU Hot Dip
Galvanized dan
aksesoris";Unit;570000;Material
;"Kabel Tray
(Horizontal) 900 x
100 mm TRU OCP
dan aksesoris";Unit;590000;Material
;Kabel Tray (Horizontal) 900 x 100 mm TRC Powder Coating dan aksesoris;unit ;600000;Material
;Kabel Tray (Horizontal) 900 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit;630000;Material
;"Kabel Tray
(Horizontal) 900 x
100 mm TRC OCP
dan aksesoris";Unit;650000;Material
;"Kabel Tray
(Horizontal) 800 x
100 mm TRU Powder
Coating dan aksesoris";Unit;400000;Material
;"Kabel Tray
(Horizontal) 800 x
100 mm TRU Hot Dip
Galvanized dan
aksesoris";unit ;430000;Material
;"Kabel Tray
(Horizontal) 800 x
100 mm TRU OCP
dan aksesoris";Unit;450000;Material
;"Kabel Tray
(Horizontal) 800 x
100 mm TRC Powder
Coating dan aksesoris";Unit;470000;Material
;"Kabel Tray
(Horizontal) 800 x
100 mm TRC Hot Dip
Galvanized dan
aksesoris";Unit;490000;Material
;Kabel Tray (Horizontal) 800 x 100 mm TRC OCP dan aksesoris;unit ;510000;Material
;Kabel Tray (Horizontal) 700 x 100 mm TRU Powder Coating dan aksesoris;Unit;350000;Material
;Kabel Tray (Horizontal) 700 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;370000;Material
;Kabel Tray (Horizontal) 700 x 100 mm TRU OCP dan aksesoris;Unit;390000;Material
;Kabel Tray (Horizontal) 700 x 100 mm TRC Powder Coating dan aksesoris;unit ;410000;Material
;Kabel Tray (Horizontal) 700 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit;430000;Material
;Kabel Tray (Horizontal) 700 x 100 mm TRC;Unit;450000;Material
;Kabel Tray (Horizontal) 600 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;470000;Material
;(Horizontal) 600 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;350000;Material
;Pemasangan 1 Unit Kabel Tray (Horizontal) 600 x 100 mm TRC OCP;Unit;370000;Material
;Kabel Tray (Horizontal) 500 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit ;385000;Material
;Kabel Tray (Horizontal) 500 x 100 mm TRU OCP dan aksesoris;Unit;395000;Material
;Kabel Tray (Horizontal) 500 x 100 mm TRC Powder Coating dan aksesoris;Unit ;415000;Material
;Kabel Tray (Horizontal) 500 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit;430000;Material
;Kabel Tray (Horizontal) 500 x 100 mm TRC OCP dan aksesoris;Unit ;445000;Material
;Kabel Tray (Horizontal) 400 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;350000;Material
;Kabel Tray (Horizontal) 400 x 100 mm TRU OCP dan aksesoris;Unit ;365000;Material
;Kabel Tray (Horizontal) 400 x 100 mm TRC Powder Coating dan aksesoris;Unit;380000;Material
;Kabel Tray (Horizontal) 400 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;395000;Material
;Kabel Tray (Horizontal) 400 x 100 mm TRC OCP dan aksesoris;Unit;410000;Material
;Kabel Tray (Horizontal) 300 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit ;300000;Material
;Kabel Tray (Horizontal) 300 x 100 mm TRU OCP dan aksesoris;Unit;320000;Material
;Kabel Tray (Horizontal) 300 x 100 mm TRC Powder Coating dan aksesoris;Unit ;340000;Material
;Kabel Tray (Horizontal) 300 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit;360000;Material
